01,10,12,13,14,15,16,17,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,70,72,73,75,78,79,80,82,83,87,99
0.8985,0.35,0.2197,0.1337,0.7795,0.8839,0.865,0.9885,0.8063,0.7149,0.8978,0.6256,0.9683,0.8012,0.8809,0.7793,0.6289,0.6901,0.7674,0.5462,0.9587,0.9627,0.9348,0.7625,0.6301,0.9446,0.6213,0.5358,0.9167,1.0,0.5166,0.9676,0.7235,0.7316,0.7822,0.8621,0.8265,0.7678,0.6791,0.6061,0.9395,0.6278,0.6771,0.8302,0.6497,0.9443,0.8432,0.8234,0.8522,0.8164,0.8085,0.6574,0.6854,0.7361,0.6591,0.984,0.7153,0.8971,0.6378,0.7166,0.7004,0.7684,0.6539
0.6028,0.9284,0.8868,0.8735,0.8691,0.7269,0.7708,0.5723,0.2435,0.1309,0.2527,0.162,0.6745,0.1607,0.2948,0.0693,-0.0099,0.9438,0.0758,0.1321,0.6304,0.6701,0.2979,-0.0026,-0.1739,0.3049,-0.0774,-0.0382,0.652,0.5166,1.0,0.6219,0.6729,-0.0777,0.8058,0.2481,0.2078,0.2078,0.1662,0.0611,0.335,0.1631,0.0296,0.5407,0.0905,0.525,0.2196,0.1945,0.2574,0.1111,0.7486,0.7455,0.7367,0.1499,-0.0482,0.5329,-0.1092,0.6464,0.0076,0.1977,0.1984,0.2105,-0.1815
0.9762,0.3953,0.265,0.2051,0.7718,0.9704,0.9489,0.9748,0.8649,0.7857,0.9039,0.7359,0.9928,0.8407,0.9049,0.8009,0.6928,0.7301,0.7957,0.6739,0.913,0.9449,0.9263,0.7644,0.6332,0.882,0.6659,0.6244,0.8469,0.9676,0.6219,1.0,0.6258,0.7164,0.9032,0.8949,0.8667,0.8361,0.7716,0.6981,0.9453,0.7374,0.7336,0.9345,0.7345,0.9847,0.877,0.862,0.893,0.8317,0.9281,0.8215,0.8396,0.8033,0.6979,0.9929,0.6918,0.9668,0.7036,0.8036,0.7938,0.8372,0.6357
0.4665,0.7536,0.6916,0.5884,0.924,0.5506,0.5893,0.7152,0.187,0.038,0.3605,-0.0635,0.6937,0.1682,0.3425,0.1361,-0.0816,0.8373,0.1185,-0.1535,0.8523,0.8082,0.4488,0.1241,-0.053,0.609,-0.0878,-0.1933,0.934,0.7235,0.6729,0.6258,1.0,0.1048,0.5005,0.2754,0.212,0.1216,-0.0002,-0.1038,0.4434,-0.0603,-0.0161,0.3242,-0.0492,0.5116,0.2432,0.2047,0.2586,0.1966,0.4624,0.3072,0.3332,0.0688,-0.0377,0.6172,0.0985,0.532,-0.0694,0.0517,0.031,0.1227,0.0037
0.7239,-0.3275,-0.4741,-0.5347,0.1488,0.6251,0.5206,0.6836,0.9025,0.9285,0.9059,0.8561,0.6434,0.9436,0.8695,0.9784,0.9367,0.0503,0.9546,0.8167,0.5245,0.545,0.8841,0.9732,0.9742,0.7687,0.9497,0.8918,0.4156,0.7316,-0.0777,0.7164,0.1048,1.0,0.4567,0.9287,0.9322,0.912,0.8826,0.8909,0.8985,0.8545,0.9565,0.75,0.9078,0.7805,0.9274,0.9414,0.9219,0.9683,0.5735,0.478,0.5085,0.9302,0.97,0.7763,0.9983,0.7027,0.9413,0.9059,0.8942,0.9117,0.9555
0.9428,0.5449,0.4629,0.4613,0.7723,0.9565,0.9868,0.8409,0.7605,0.6753,0.7361,0.6971,0.9121,0.6946,0.7779,0.6111,0.5682,0.8205,0.6342,0.6644,0.7794,0.8444,0.7449,0.5608,0.419,0.6733,0.5149,0.5398,0.6972,0.7822,0.8058,0.9032,0.5005,0.4567,1.0,0.7444,0.7263,0.7351,0.708,0.6251,0.7659,0.6999,0.5877,0.9236,0.6471,0.8924,0.7325,0.7136,0.7555,0.6433,0.9665,0.929,0.9227,0.6892,0.5264,0.8497,0.4159,0.8959,0.5755,0.715,0.7181,0.7366,0.412
0.9209,-0.05,-0.1809,-0.2195,0.4224,0.837,0.7918,0.8589,0.9913,0.969,0.9887,0.9242,0.8489,0.9936,0.9829,0.9809,0.9349,0.368,0.9819,0.8806,0.7174,0.758,0.9747,0.9673,0.9087,0.8719,0.9273,0.8888,0.5952,0.8621,0.2481,0.8949,0.2754,0.9287,0.7444,1.0,0.9976,0.9842,0.9518,0.9237,0.9828,0.9255,0.9513,0.9302,0.9434,0.9483,0.9984,0.9973,0.9994,0.99,0.7993,0.7042,0.7218,0.9762,0.9403,0.9205,0.9082,0.8618,0.9371,0.9619,0.9557,0.9842,0.9027
0.9056,-0.1026,-0.2281,-0.2579,0.3697,0.8116,0.7688,0.8268,0.9963,0.9815,0.9824,0.9439,0.8169,0.9987,0.9795,0.9859,0.9549,0.3216,0.9908,0.9057,0.6745,0.7191,0.962,0.9751,0.9263,0.8495,0.9481,0.9158,0.543,0.8265,0.2078,0.8667,0.212,0.9322,0.7263,0.9976,1.0,0.9925,0.9681,0.9459,0.968,0.9453,0.9655,0.924,0.9617,0.9307,0.9992,0.9995,0.9984,0.9921,0.7791,0.6917,0.7068,0.9868,0.9561,0.893,0.9109,0.8349,0.9554,0.9723,0.9679,0.9924,0.9188
0.899,-0.1248,-0.2463,-0.2613,0.3136,0.8054,0.759,0.7748,0.9966,0.9946,0.9546,0.9769,0.7802,0.9933,0.9588,0.9762,0.9722,0.2876,0.984,0.9502,0.6052,0.6616,0.9245,0.9587,0.9204,0.7847,0.9587,0.9483,0.4624,0.7678,0.2078,0.8361,0.1216,0.912,0.7351,0.9842,0.9925,1.0,0.991,0.9744,0.9364,0.9778,0.9769,0.9345,0.9847,0.908,0.9876,0.9919,0.9888,0.9767,0.7899,0.7279,0.7381,0.9969,0.9622,0.8542,0.8884,0.8239,0.9729,0.991,0.9899,1.0,0.9018
0.8609,-0.1852,-0.297,-0.2941,0.2201,0.7608,0.7143,0.6931,0.9797,0.9937,0.9091,0.9961,0.709,0.9728,0.9204,0.9536,0.9814,0.2152,0.9661,0.9826,0.5054,0.5722,0.8673,0.9339,0.9128,0.7027,0.9643,0.9746,0.3498,0.6791,0.1662,0.7716,-0.0002,0.8826,0.708,0.9518,0.9681,0.991,1.0,0.9931,0.8814,0.9967,0.9769,0.9157,0.9959,0.8567,0.9591,0.9675,0.9599,0.9473,0.7619,0.7258,0.7304,0.9921,0.9604,0.7844,0.8574,0.7749,0.9808,0.992,0.9948,0.991,0.8854
